"x"
"medium to high"
"of oil covering"
"to high heat"
"of the pan"
"covering the bottom"
"to of oil"
"about to of"
"bottom of the"
"on medium to"
"pan on medium"
"oil covering the"
"with about to"
"heat a pan"
"high heat with"
"the bottom of"
"a pan on"
"heat with about"
"moisten the pork"
"the coating mix"
"then toss with"
"large plastic bag"
"toss with the"
"pork cubes with"
"cubes with water"
"coating mix in"
"water then toss"
"the pork cubes"
"mix in a"
"with water then"
"with the coating"
"a large plastic"
"in a large"
"both sides golden"
"the pork to"
"turning to get"
"oil and let"
"sides golden brown"
"let cook through"
"through turning to"
"and let cook"
"to the heated"
"cook through turning"
"to get both"
"pork to the"
"get both sides"
"heated oil and"
"the heated oil"
"add the pork"
"and let drain"
"cooked remove and"
"remove and let"
"let drain on"
"on a paper"
"a paper towel"
"drain on a"
"once cooked remove"
"book i have"
"decided to make"
"far as the"
"i have decided"
"to make it"
"as far as"
"it available through"
"through amazon kindle"
"have decided to"
"the book i"
"make it available"
"as the book"
"available through amazon"
"am actually beginning"
"i am actually"
"final edit for"
"process of the"
"for now anyway"
"of the final"
"the process of"
"actually beginning the"
"beginning the process"
"the final edit"
"edit for now"
"times but i"
"quite perfect yet"
"know that it"
"not quite perfect"
"it has been"
"has been edited"
"but i know"
"that it is"
"i know that"
"it is not"
"number of times"
"is not quite"
"been edited a"
"edited a number"
"a number of"
"of times but"
"is rather minor"
"but the editing"
"point is rather"
"this point is"
"editing at this"
"the editing at"
"at this point"
"right format to"
"to put it"
"then i have"
"format to load"
"load onto kindle"
"have to put"
"i have to"
"put it in"
"onto kindle correctly"
"to load onto"
"it in the"
"in the right"
"the right format"
"finally the most"
"exciting part to"
"part to me"
"the most exciting"
"and finally the"
"me right now"
"to me right"
"most exciting part"
"is designing the"
"designing the cover"
"doing some computer"
"getting into doing"
"work lately and"
"design work lately"
"some computer design"
"been getting into"
"have really been"
"and i love"
"lately and i"
"really been getting"
"i have really"
"computer design work"
"i love it"
"into doing some"
"been designing a"
"a few graphics"
"at recoverynowtv and"
"super excited about"
"few graphics for"
"am super excited"
"excited about designing"
"for my blog"
"i am super"
"designing a few"
"designing my own"
"blog posts at"
"about designing my"
"graphics for my"
"have been designing"
"my blog posts"
"recoverynowtv and i"
"my own cover"
"posts at recoverynowtv"
"i have been"
"and i am"
"idea what i"
"i am going"
"no idea what"
"what i am"
"am going to"
"going to do"
"to do with"
"i have no"
"do with it"
"have no idea"
"flash like i"
"like i sometimes"
"sometimes have when"
"signs maybe one"
"a dream or"
"dream or a"
"i will see"
"visual flash like"
"i am writing"
"but i will"
"night in a"
"weird visual flash"
"the signs maybe"
"see the signs"
"will see the"
"in a dream"
"one night in"
"have when i"
"maybe one night"
"when i am"
"or a weird"
"i sometimes have"
"a weird visual"
"this project together"
"put this project"
"to put this"
"excited to put"
"also excited to"
"am also excited"
