"x"
"oil covering the bottom of"
"with about to of oil"
"of oil covering the bottom"
"pan on medium to high"
"a pan on medium to"
"medium to high heat with"
"high heat with about to"
"heat a pan on medium"
"covering the bottom of the"
"heat with about to of"
"on medium to high heat"
"the bottom of the pan"
"about to of oil covering"
"to high heat with about"
"to of oil covering the"
"in a large plastic bag"
"mix in a large plastic"
"water then toss with the"
"then toss with the coating"
"moisten the pork cubes with"
"cubes with water then toss"
"pork cubes with water then"
"toss with the coating mix"
"the pork cubes with water"
"the coating mix in a"
"with water then toss with"
"coating mix in a large"
"with the coating mix in"
"and let cook through turning"
"turning to get both sides"
"get both sides golden brown"
"heated oil and let cook"
"to the heated oil and"
"the pork to the heated"
"to get both sides golden"
"cook through turning to get"
"add the pork to the"
"through turning to get both"
"the heated oil and let"
"oil and let cook through"
"let cook through turning to"
"pork to the heated oil"
"cooked remove and let drain"
"let drain on a paper"
"drain on a paper towel"
"and let drain on a"
"once cooked remove and let"
"remove and let drain on"
"i have decided to make"
"book i have decided to"
"to make it available through"
"have decided to make it"
"make it available through amazon"
"as the book i have"
"far as the book i"
"the book i have decided"
"it available through amazon kindle"
"as far as the book"
"decided to make it available"
"actually beginning the process of"
"beginning the process of the"
"the process of the final"
"of the final edit for"
"process of the final edit"
"final edit for now anyway"
"am actually beginning the process"
"the final edit for now"
"i am actually beginning the"
"has been edited a number"
"is not quite perfect yet"
"a number of times but"
"that it is not quite"
"number of times but i"
"edited a number of times"
"been edited a number of"
"times but i know that"
"it is not quite perfect"
"but i know that it"
"it has been edited a"
"of times but i know"
"know that it is not"
"i know that it is"
"this point is rather minor"
"but the editing at this"
"editing at this point is"
"the editing at this point"
"at this point is rather"
"format to load onto kindle"
"put it in the right"
"the right format to load"
"right format to load onto"
"have to put it in"
"in the right format to"
"i have to put it"
"it in the right format"
"to put it in the"
"then i have to put"
"to load onto kindle correctly"
"part to me right now"
"exciting part to me right"
"finally the most exciting part"
"the most exciting part to"
"and finally the most exciting"
"most exciting part to me"
"into doing some computer design"
"work lately and i love"
"doing some computer design work"
"been getting into doing some"
"have really been getting into"
"some computer design work lately"
"really been getting into doing"
"design work lately and i"
"lately and i love it"
"i have really been getting"
"getting into doing some computer"
"computer design work lately and"
"about designing my own cover"
"posts at recoverynowtv and i"
"recoverynowtv and i am super"
"blog posts at recoverynowtv and"
"i have been designing a"
"my blog posts at recoverynowtv"
"am super excited about designing"
"i am super excited about"
"for my blog posts at"
"and i am super excited"
"been designing a few graphics"
"few graphics for my blog"
"at recoverynowtv and i am"
"graphics for my blog posts"
"super excited about designing my"
"a few graphics for my"
"excited about designing my own"
"designing a few graphics for"
"have been designing a few"
"no idea what i am"
"have no idea what i"
"going to do with it"
"am going to do with"
"i am going to do"
"i have no idea what"
"what i am going to"
"idea what i am going"
"one night in a dream"
"the signs maybe one night"
"have when i am writing"
"weird visual flash like i"
"i will see the signs"
"signs maybe one night in"
"night in a dream or"
"sometimes have when i am"
"will see the signs maybe"
"a dream or a weird"
"dream or a weird visual"
"i sometimes have when i"
"or a weird visual flash"
"a weird visual flash like"
"visual flash like i sometimes"
"in a dream or a"
"like i sometimes have when"
"maybe one night in a"
"see the signs maybe one"
"but i will see the"
"flash like i sometimes have"
"also excited to put this"
"excited to put this project"
"i am also excited to"
"am also excited to put"
"to put this project together"
"if you are out there"
"are out there reading this"
"you are out there reading"
"and liam if you are"
"liam if you are out"
"i really would like you"
"like you to know about"
"really would like you to"
"you to know about this"
"would like you to know"
"not need consent since the"
"have already been changed but"
"and otherwise identifying details have"
"changed but i think in"
"names and otherwise identifying details"
"details have already been changed"
